order_id,customer_id,order_date,total_amount,_fivetran_deleted,_fivetran_id,_fivetran_synced
1001,101,2022-03-10,275.0,FALSE,uuid-2,2025-06-25 09:00:00
1002,102,2022-04-15,240.0,FALSE,uuid-3,2025-06-25 09:00:00
1003,103,2023-01-22,300.0,FALSE,uuid-4,2025-06-25 09:00:00
1004,104,2020-12-01,150.0,TRUE,uuid-5,2025-06-25 09:00:00
1005,105,2022-07-10,0.0,FALSE,uuid-6,2025-06-25 09:00:00
1006,106,2023-10-05,-50.0,FALSE,uuid-7,2025-06-25 09:00:00
1007,107,2021-06-30,85.0,FALSE,uuid-8,2025-06-25 09:00:00
1008,108,2024-03-18,99.99,FALSE,uuid-9,2025-06-25 09:00:00
1009,109,2020-01-01,120.0,TRUE,uuid-10,2025-06-25 09:00:00
1010,110,2025-06-30,450.0,FALSE,uuid-11,2025-06-30 09:00:00
1011,111,2025-12-01,300.0,FALSE,uuid-12,2025-06-25 09:00:00
1012,,2025-06-15,200.0,FALSE,uuid-13,2025-06-25 09:00:00
1013,101,2025-06-26,175.0,FALSE,uuid-14,2025-06-26 09:00:00

